constraint_definition;constraint_name;initially_deferred;is_deferrable;match_type;on_delete;on_update;source_columns;source_schema;source_table;target_columns;target_schema;target_table
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE;cashback_transactions_customer_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;customer_id;public;cashback_transactions;id;public;customers
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE SET NULL;client_auth_customer_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;customer_id;public;client_auth;id;public;customers
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;communication_channels_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;communication_channels;id;public;profiles
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE SET NULL;communication_messages_customer_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;customer_id;public;communication_messages;id;public;customers
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;communication_messages_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;communication_messages;id;public;profiles
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;communication_templates_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;communication_templates;id;public;profiles
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE SET NULL;cookie_consents_customer_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;customer_id;public;cookie_consents;id;public;customers
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE SET NULL;cookie_consents_tenant_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;tenant_id;public;cookie_consents;id;public;profiles
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;coupons_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;coupons;id;public;profiles
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE SET NULL;credit_transactions_appointment_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;appointment_id;public;credit_transactions;id;public;appointments
