index_definition;index_name;schema_name;table_name
CREATE UNIQUE INDEX automation_v2_dispatches_pkey ON public.automation_v2_dispatches USING btree (id);automation_v2_dispatches_pkey;public;automation_v2_dispatches
CREATE UNIQUE INDEX idx_anniversary_uniqueness ON public.automation_v2_dispatches USING btree (tenant_id, customer_id, workflow_key, anniversary_year, anniversary_message_type) WHERE (workflow_key = 'barbershop_anniversary'::text);idx_anniversary_uniqueness;public;automation_v2_dispatches
CREATE INDEX idx_auto_v2_disp_appt ON public.automation_v2_dispatches USING btree (appointment_id);idx_auto_v2_disp_appt;public;automation_v2_dispatches
CREATE INDEX idx_auto_v2_disp_created ON public.automation_v2_dispatches USING btree (created_at);idx_auto_v2_disp_created;public;automation_v2_dispatches
CREATE INDEX idx_auto_v2_disp_msg ON public.automation_v2_dispatches USING btree (message_id);idx_auto_v2_disp_msg;public;automation_v2_dispatches
CREATE INDEX idx_auto_v2_disp_tenant ON public.automation_v2_dispatches USING btree (tenant_id);idx_auto_v2_disp_tenant;public;automation_v2_dispatches
CREATE UNIQUE INDEX idx_unique_birthday_dispatch_per_year ON public.automation_v2_dispatches USING btree (tenant_id, customer_id, workflow_key, birthday_year) WHERE ((workflow_key = 'customer_birthday'::text) AND (birthday_year IS NOT NULL) AND (customer_id IS NOT NULL));idx_unique_birthday_dispatch_per_year;public;automation_v2_dispatches
CREATE UNIQUE INDEX automation_v2_logs_pkey ON public.automation_v2_logs USING btree (id);automation_v2_logs_pkey;public;automation_v2_logs
CREATE UNIQUE INDEX automation_v2_sessions_pkey ON public.automation_v2_sessions USING btree (id);automation_v2_sessions_pkey;public;automation_v2_sessions
CREATE UNIQUE INDEX automation_webhook_logs_pkey ON public.automation_webhook_logs USING btree (id);automation_webhook_logs_pkey;public;automation_webhook_logs
CREATE UNIQUE INDEX automations_pkey ON public.automations USING btree (id);automations_pkey;public;automations
CREATE UNIQUE INDEX availability_conflict_logs_pkey ON public.availability_conflict_logs USING btree (id);availability_conflict_logs_pkey;public;availability_conflict_logs
CREATE INDEX idx_avail_conflict_logs_tenant_created ON public.availability_conflict_logs USING btree (tenant_id, created_at DESC);idx_avail_conflict_logs_tenant_created;public;availability_conflict_logs
CREATE UNIQUE INDEX background_jobs_pkey ON public.background_jobs USING btree (id);background_jobs_pkey;public;background_jobs
CREATE INDEX idx_bg_jobs_status_next_run ON public.background_jobs USING btree (status, next_run_at) WHERE (status = ANY (ARRAY['pending'::text, 'retry'::text]));idx_bg_jobs_status_next_run;public;background_jobs
CREATE INDEX idx_bg_jobs_tenant_id ON public.background_jobs USING btree (tenant_id);idx_bg_jobs_tenant_id;public;background_jobs
CREATE UNIQUE INDEX barber_commissions_appointment_barber_key ON public.barber_commissions USING btree (appointment_id, barber_id);barber_commissions_appointment_barber_key;public;barber_commissions
CREATE UNIQUE INDEX barber_commissions_pkey ON public.barber_commissions USING btree (id);barber_commissions_pkey;public;barber_commissions
CREATE INDEX idx_barber_commissions_appointment ON public.barber_commissions USING btree (appointment_id);idx_barber_commissions_appointment;public;barber_commissions
CREATE INDEX idx_barber_commissions_created_at ON public.barber_commissions USING btree (created_at);idx_barber_commissions_created_at;public;barber_commissions
CREATE INDEX idx_barber_commissions_tenant_barber_status ON public.barber_commissions USING btree (tenant_id, barber_id, status);idx_barber_commissions_tenant_barber_status;public;barber_commissions
